type,title,doi,5a,5b,6a,7,8a,9a,9b,10,11
stroke,Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ,na,no,no,no,no,no,no,no,no,yes
diabetes,Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence,10.1109/ACCESS.2024.3398198,no,no,no,no,no,no,no,no,no
stroke,Comparison of Classification Algorithm in Predicting Stroke Disease,10.34012/jurnalsisteminformasidanilmukomputer.v6i1.2714,no,no,no,no,no,no,no,no,yes
stroke,Data Management Analysis for Predicting Stroke using RapidMiner,10.61487/jiste.v2i3.95,no,no,no,no,no,no,no,no,yes
stroke,Effective Stroke Prediction using Machine Learning Algorithms ,10.34104/ajeit.024.026036,no,no,no,no,no,no,no,no,yes
diabetes,Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm,10.1145/3727993.372805,no,no,no,no,no,no,no,no,yes
stroke,"Classification of stroke patients using data mining with AdaBoost, Decision Tree and Random Forest models",na,no,no,no,no,no,no,no,no,yes
stroke,Machine Learning Prediction of Brain Stroke at an Early Stage,10.24996/ijs.2023.64.12.39,no,no,no,no,no,no,no,no,yes
stroke,Predicting stroke risk: An effective stroke prediction model based on neural networks,10.1016/j.jnrt.2024.100156,no,no,no,no,no,no,no,no,yes
stroke,Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data,10.56286/1vf19469,no,no,no,no,no,no,no,no,no
