"","type","title","doi"
"1","stroke","Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ","na"
"2","diabetes","Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence","10.1109/ACCESS.2024.3398198"
"3","stroke","Comparison of Classification Algorithm in Predicting Stroke Disease","10.34012/jurnalsisteminformasidanilmukomputer.v6i1.2714"
"4","stroke","Data Management Analysis for Predicting Stroke using RapidMiner","10.61487/jiste.v2i3.95"
"5","stroke","Effective Stroke Prediction using Machine Learning Algorithms ","10.34104/ajeit.024.026036"
"6","diabetes","Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm","10.1145/3727993.372805"
"7","stroke","Classification of stroke patients using data mining with AdaBoost, Decision Tree and Random Forest models","na"
"8","stroke","Machine Learning Prediction of Brain Stroke at an Early Stage","10.24996/ijs.2023.64.12.39"
"9","stroke","Predicting stroke risk: An effective stroke prediction model based on neural networks","10.1016/j.jnrt.2024.100156"
"10","stroke","Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data","10.56286/1vf19469"
