"","type","title","doi","x5a","x5b","x6a","x7","x8a","x9a","x9b","x10","x11","cpm_type","first_auth_country","ethics","helsinki","practical_use","other_comments"
"1","diabetes","Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus","10.1371/journal.pone.0302595","no","no","no","no","no","no","no","no","yes","development","Malaysia","no statement","no statement","This study envisions SRFEI becoming a high-performing solution for various practical applications in diabetes.","The study also used another dataset the PIMA Indians diabetes dataset. The diabetes dataset was not the primary dataset used."
"2","diabetes","Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques","10.14569/IJACSA.2023.0141236","no","no","no","no","no","no","no","no","no","development","Saudi Arabia","no statement","no statement","As recommendations, our stacking model can be applied in a diagnostic application for diabetes mellitus; in addition, it can be tested on a new huge and diverse dataset to obtain more accurate results. Moreover, we can use deep-learning models to generate new patterns that help us diagnose DM robustly, which also can happen with different types of diabetes, such as type 1 and type 2 diabetes and gestational diabetes.","The study used another dataset the PIMA indians dataset as the primary dataset and validated the model on the diabetes prediction dataset"
"3","diabetes","Modelo predictivo de diabetes utilizando el proceso CRISP-DM para la prevención de la enfermedad implementando Machine Learning","10.17981/cesta.04.02.2023.02","no","no","no","no","no","yes","no","no","no","development","Colombia","no statement","no statement","There was no clear talk of any practical use of this model.","na"
"4","diabetes","Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population","10.7717/peerj-cs.2436","no","no","no","yes","no","no","no","no","no","development","China","no statement","no statement","The results of this study will not only help individuals receive the necessary medical interventions in a timely manner to reduce the incidence of diabetes mellitus and its complications, but will also have a significant impact on the health and quality of life of the entire middle-aged and elderly population.","na"
"5","diabetes","Performance Evaluation of Supervised Machine Learning Classifiers for Type 2 Diabetes Mellitus Prediction","10.34248/bsengineering.1618267","no","no","no","yes","no","no","no","no","no","development","Turkey","statement not needed","no statement","The study suggests that ML-based classifiers offer a reliable approach for accurately predicting T2DM and supporting medical professionals in clinical decision-making.","This article specifically was looking at developing a prediction model for type 2 diabetes"
"6","diabetes","Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm","10.1145/3727993.372805","no","no","no","yes","no","no","no","no","no","development","China","no statement","no statement","There was no clear talk of any practical use of this model.","Conclusions talked about the model was predicting the onset of diabetes."
"7","diabetes","Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation","10.14569/IJACSA.2024.0150703","no","no","no","yes","no","no","no","no","no","development","Lebanon","no statement","no statement","This research provides a scalable and effective tool for diabetes and retinopathy risk evaluation, contributing significantly to the field by offering broader practical implications for healthcare providers. Thus, this study proposes an automatic diabetes prediction system that can be deployed on a website and an Android smartphone application using the XGBoost machine learning framework.","In the conclusions the authors talk as if a website has been produced for the prediction model but has not reference to a website and is unclear if it has been used in practice."
"8","diabetes","Effective Diabetes Prediction using an IoT-based Integrated Ensemble Machine Learning Framework","10.48084/etasr.8869","no","no","no","no","no","no","no","no","no","development","India","no statement","no statement","ML algorithms can provide real-time feedback and decision support to patients and healthcare providers, helping them make informed decisions about insulin dosages, diet, exercise, and medication adjustments.","na"
"9","diabetes","Prediction of diabetes using hybrid support vector machines with Artificial Bee Colony","10.1007/s13410-025-01478-x","no","no","no","no","no","no","no","no","no","validation","Algeria","statement not needed","no statement","A prospective study in real-world clinical settings is essential to assess its role in identifying at-risk patients, guiding treatment decisions, and reducing misdiagnoses. Additionally, evaluating the model’s performance alongside existing clinical tools will provide valuable insights into its potential for integration into current healthcare workflows, ensuring its practical application in enhancing patient outcome.","This study did develop a clinical prediction model but used the dataset as validation dataset."
"10","diabetes","Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence","10.1109/ACCESS.2024.3398198","no","no","no","yes","no","no","no","no","no","development","Pakistan","no statement","no statement","Our study advances the state-of-the-art in diabetes prediction by introducing these novel methodologies and demonstrating their superior performance. Also by providing insightful information and practical solutions for enhancing healthcare outcomes.","na"
"11","diabetes","A Machine Learning-Based Prediction Study for Type 2 Diabetic Mellitus","10.61173/zr192s24","no","no","no","yes","no","no","no","no","no","development","China","no statement","no statement","In conclusion, the logistic regression model has a strong overall prediction ability, which can effectively and accurately achieve T2DM prediction and early screening, so that the risk population can receive early prevention and treatment, so as to reduce the incidence of diabetes. In addition, more targeted personalized treatment programs can be developed to reduce unnecessary medical costs and ultimately achieve accurate treatment of T2DM.","The study specifically looked predicting type 2 diabetes"
"12","diabetes","Formulation of a Multi-Disease Comorbidity Prediction Framework: A Data-Driven Case Analysis on of Diabetes, Hypertension, and Cardiovascular Risk Trajectories","10.32996/jcsts.2023.5.3.12","no","no","no","yes","no","no","no","no","no","development","United States of America","no statement","no statement","On the whole, the designed framework has shown the potential to serve as a clinical decision support tool, particularly in the setting of resource-limited facilities, wishing to integrate scalable and explainable solutions.","na"
"13","diabetes","Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction","na","no","no","no","yes","no","no","no","no","no","development","United Arab Emirates","no statement","no statement","Through its early detection capabilities, PreDiX can open the door to tailored preventative measures, such as changes to one's lifestyle, which can help reduce the risk of hyperglycemia and its complications. Because of this, PreDiX may help healthcare systems by lowering the demand for intensive medical treatments.","na"
