,type,title,doi,rescreen_7
1,diabetes,Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus,10.1371/journal.pone.0302595,no
2,diabetes,Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques,na,no
3,diabetes,Modelo predictivo de diabetes utilizando el proceso CRISP-DM para la prevención de la enfermedad implementando Machine Learning,10.17981/cesta.04.02.2023.02,no
4,diabetes,Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population,10.7717/peerj-cs.2436,no
5,diabetes,Performance Evaluation of Supervised Machine Learning Classifiers for Type 2 Diabetes Mellitus Prediction,10.34248/bsengineering.1618267,no
6,diabetes,Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm,10.1145/3727993.372805,no
7,diabetes,Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation,10.14569/IJACSA.2024.0150703,no
8,diabetes,Effective Diabetes Prediction using an IoT-based Integrated Ensemble Machine Learning Framework,10.48084/etasr.8869,no
9,diabetes,Prediction of diabetes using hybrid support vector machines with Artificial Bee Colony,10.1007/s13410-025-01478-x,no
10,diabetes,Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence,10.1109/ACCESS.2024.3398198,no
11,diabetes,A Machine Learning-Based Prediction Study for Type 2 Diabetic Mellitus,10.61173/zr192s24,no
12,diabetes,"Formulation of a Multi-Disease Comorbidity Prediction Framework: A Data-Driven Case Analysis on of Diabetes, Hypertension, and Cardiovascular Risk Trajectories",10.32996/jcsts.2023.5.3.12,no
13,diabetes,Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction,na,no
14,diabetes,Integrated Ensemble Model for Diabetes Mellitus Detection,10.14569/IJACSA.2024.0150423,no
15,diabetes,Advancing Diabetes Prediction: A Nuanced Six-Class Classification System and Risk Factor Interactions Investigation,10.2991/978-94-6463-300-9_71,no
16,diabetes,Prediction of Type-II Diabetic through Blockchain Technology,10.17485/IJST/v18i15.3423,no
17,diabetes,Predicting Diabetes Mellitus with Machine Learning Techniques,10.58564/IJSER.4.2.2025.315,no
18,diabetes,An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment,10.1038/s41598-025-96541-2,no
19,diabetes,Development of Diabetes Diagnosis Tool Using Machine Learning,10.30880/eeee.2024.05.01.001,no
20,diabetes,A predictive machine learning framework for diabetes,10.31127/tuje.1434305,no
21,diabetes,Data to Diagnosis: Evaluating Machine Learning Algorithms for Predictive Healthcare in Diabetes,10.21015/vtse.v13i3.2141,no
