"","web_address","title","doi","type","pdf","english","search","uses_data"
"1","https://revistascientificas.cuc.edu.co/CESTA/article/view/5585","Modelo predictivo de diabetes utilizando el proceso CRISP-DM para la prevención de la enfermedad implementando Machine Learning","10.17981/cesta.04.02.2023.02","article","yes","yes","diabetes","yes"
"2","https://www.jatit.org/volumes/Vol103No10/1Vol103No10.pdf","SOL-AUTOCLUST: A SMART ONLINE-LEARNING AUTOMATED CLUSTERING FRAMEWORK","na","article","yes","yes","diabetes","yes"
"3","http://www.ijicic.org/ijicic-190608.pdf","AN ALTERNATIVE PARAMETER FREE CLUSTERING ALGORITHM USING DATA POINT POSITIONING ANALYSIS (DPPA)– COMPARISON WITH DBSCAN","10.24507/ijicic.19.06.1805","article","yes","yes","diabetes","yes"
"4","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0302595","Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus","10.1371/journal.pone.0302595","article","yes","yes","diabetes","yes"
"5","https://www.vfast.org/journals/index.php/VTSE/article/view/2141","Data to Diagnosis: Evaluating Machine Learning Algorithms for Predictive Healthcare in Diabetes","10.21015/vtse.v13i3.2141","article","yes","yes","diabetes","yes"
"6","https://peerj.com/articles/cs-2436/","Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population","10.7717/peerj-cs.2436","article","yes","yes","diabetes","yes"
"7","https://jaidst.provincepublications.com/documents/i3/JAIDST_12.pdf","Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction","na","article","yes","yes","diabetes","yes"
"8","https://www.nature.com/articles/s41598-024-68651-w","A novel approach for assessing fairness in deployed machine learning algorithms","10.1038/s41598-024-68651-w","article","yes","yes","diabetes","yes"
"9","https://pdfs.semanticscholar.org/a240/8111f40b81091dcda04d2068c054b89d1129.pdf","Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques","na","article","yes","yes","diabetes","yes"
"10","https://www.nature.com/articles/s41598-025-96541-2","An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment","10.1038/s41598-025-96541-2","article","yes","yes","diabetes","yes"
"11","https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2025/Issue-15/IJST-2024-3423.pdf","Prediction of Type-II Diabetic through Blockchain Technology","10.17485/IJST/v18i15.3423","article","yes","yes","diabetes","yes"
"12","https://www.researchgate.net/profile/Wiam-Ramadan/publication/382698597_Enhancing_Healthcare_Machine_Learning_for_Diabetes_Prediction_and_Retinopathy_Risk_Evaluation/links/66aa8fe44433ad480e89f4b1/Enhancing-Healthcare-Machine-Learning-for-Diabetes-Prediction-and-Retinopathy-Risk-Evaluation.pdf","Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation","10.14569/IJACSA.2024.0150703","article","yes","yes","diabetes","yes"
