web_address,title,doi,type,pdf,english,search,uses_data
https://www.proquest.com/openview/787e371a7a4ebff41875db19773bb2c4/1?pq-origsite=gscholar&cbl=18750&diss=y,"A Comparison of Logistic, RIDGE, and LASSO Regression with Heart Failure Risk Data: Effects of Sample Size, Predictor Correlation, and Predictor Weight on Outcome Accuracy",na,thesis,na,yes,stroke,na
https://www.researchgate.net/publication/390549258_Advancing_Diagnosis_Capabilities_with_Smart_AI_Techniques_for_Early_Symptoms_Prediction_of_Brain_Stroke,Advancing Diagnosis Capabilities with Smart AI Techniques for Early Symptoms Prediction of Brain Stroke,na,article,na,yes,stroke,na
https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1967539&dswid=-2348,AI-baserat beslutsstöd för vårdprioritering: En prototyp för riskbedömning och tidsbokning inspirerad av SIP: Teknisk implementering: AI-drivet riskbedömningssystem och schemaläggningsalgoritm,na,thesis,na,no,stroke,na
https://openurl.ebsco.com/EPDB%3Agcd%3A7%3A10694311/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A169779919&crl=c&link_origin=none,An Optimized Feature Selection and Hyperparameter Tuning Framework for Automated Heart Disease Diagnosis.,10.32604/csse.2023.041609,article,na,yes,stroke,na
https://gredos.usal.es/handle/10366/163834,Aplicación de algoritmos machine learning al diagnóstico de infartos.,na,na,na,no,stroke,na
https://prosiding.itbaas.ac.id/index.php/psd/article/view/17,Application of the Naive Bayes Algorithm in Stroke Risk Classification Using Patient Clinical Data,na,conference,na,yes,stroke,na
https://proceedings.mlr.press/v238/reichelt24a.html,Beyond Bayesian Model Averaging over Paths in Probabilistic Programs with Stochastic Support,na,conference,na,yes,stroke,na
https://www.taylorfrancis.com/chapters/edit/10.1201/9781003408246-16/blockchain-based-digital-twin-predict-heart-attacks-venkatesh-upadrista-sajid-nazir-huaglory-tianfield,Blockchain-Based Digital Twin to Predict Heart Attacks,10.1201/9781003408246,book,na,yes,stroke,na
https://www.proquest.com/openview/ee60a5258810dd4b5c69f2504b7a92cc/1?pq-origsite=gscholar&cbl=18750&diss=y,"Building Teachable AI From Explanations, Interactions, and Demonstrations",na,thesis,na,yes,stroke,na
https://proceedings.mlr.press/v202/lee23i.html,CoDi: Co-evolving Contrastive Diffusion Models for Mixed-type Tabular Synthesis,na,conference,na,yes,stroke,na
https://www.politesi.polimi.it/handle/10589/201697,Cross-domain textual explanations for explainable AI,na,na,na,no,stroke,na
https://proceedings.neurips.cc/paper/2021/hash/e7e8f8e5982b3298c8addedf6811d500-Abstract.html,Differentially Private Empirical Risk Minimization under the Fairness Lens,na,na,na,na,stroke,na
https://www.researchgate.net/publication/392563610_Synergizing_GAN_and_Customized_Neural_Network_for_Enhanced_Brain_Stroke_Prediction_A_Web-based_Implementation,Efficient Prediction of Stroke Patients Using Random Forest Algorithm in Comparison to Support Vector Machine,10.3233/APC220075,article,na,yes,stroke,na
https://dspace.univ-temouchent.edu.dz/handle/123456789/2882,Etude comparative des algorithmes dédiés à la classification,na,na,na,yes,stroke,na
https://openurl.ebsco.com/EPDB%3Agcd%3A14%3A9911038/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A181715315&crl=c&link_origin=none,Evaluasi Performa Algoritma Klasifikasi dalam Prediksi Gagal Jantung: Studi Kasus Dataset Heart Failure Predictio.,10.62411/tc.v23i4.11685,article,na,no,stroke,na
https://books.google.com.au/books?hl=en&lr=&id=ztWcEAAAQBAJ&oi=fnd&pg=PA211&dq=fedesoriano+stroke+prediction+dataset&ots=oxPWiVt4ZK&sig=oXY5pOTwTQYWRSXfI25yLH_1Ehc#v=onepage&q=fedesoriano%20stroke%20prediction%20dataset&f=false,Explainable Artificial Intelligence Powered Model for Explainable Detection of Stroke Disease,10.1007/978-3-031-20601-6_20,conference,na,yes,stroke,na
https://openurl.ebsco.com/EPDB%3Agcd%3A3%3A5154931/detailv2?sid=ebsco%3Aplink%3Ascholar&id=ebsco%3Agcd%3A186513952&crl=c&link_origin=none,Explainable Deep Temporal Modeling for Stroke Risk Assessment Using Attention-Based LSTM Networks.,10.14569/ijacsa.2025.0160667,article,no,yes,stroke,na
http://bdigital.dgse.uaa.mx:8080/xmlui/handle/11317/3044,Identificación de factores de riesgo de cardiopatías isquémicas en mujeres mediante aprendizaje automático,na,na,na,no,stroke,na
https://repository.uksw.edu/handle/123456789/35687,Implementasi Criterion pada Algoritma Decision Tree dan KNN untuk Klasifikasi Dataset Stroke,na,na,na,no,stroke,na
