"","type","title","doi","practical_use","other_comments"
"1","stroke","PREDICTIVE MODELING OF STROKE OCCURRENCE USING PYTHON FOR IMPROVED RISK ASSESSMENT","10.5937/jpmnt12-50921","By helping healthcare professionals identify and intervene early, the created model can improve patient outcomes and lessen the burden of stroke-related morbidity and mortality. Ideally, the treating physician could predict the outcome under different circumstances beforehand and thus make an informed treatment decision","Article called the dataset a survey of stroke patients"
"2","stroke","Enhancing accuracy in brain stroke detection: Multi-layer perceptron with Adadelta, RMSProp and AdaMax optimizers","10.3389/fbioe.2023.1257591","The aim of the proposed model is to raise the standard of stroke diagnosis, enabling doctors to identify stroke quickly and reliably and to begin the appropriate treatment as soon as feasible.","na"
"3","stroke","A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction","10.1038/s41598-025-11263-9","Given the absence of external validation or real-world testing, our model is not yet suitable for clinical deployment.","Had mention that it should not be used in practice"
"4","stroke","An Intuitive Approach on Transfer Learning with an IBF+IHP Model for Stroke Classification and Prediction","10.48084/etasr.9031","Further innovation and collaboration should further refine and validate the proposed model for deployment in clinical settings, ultimately improving patient outcomes and advancing the field of precision medicine.","na"
"5","stroke","Crunch Mode: Make Early Predictions about Risk of Stroke Using Machine Learning","10.56977/jicce.2025.23.1.17","This will not only help to improve the quality of prediction but also support the development of more effective medical interventions and preventive measures to protect public health.","na"
"6","stroke","Predicting Stroke Risk with Machine Learning and Hyperparameter Optimization","10.31466/kfbd.1538305","The findings offer a valuable foundation for developing real-time, ML-based stroke screening systems in healthcare settings.","na"
"7","stroke","Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data","10.56286/1vf19469","Moreover, KNN model showed high prediction speed and low training time, making it suitable for medical data classification.","na"
"8","stroke","An Optimization Precise Model of Stroke Data to Improve Stroke Prediction","10.3390/a16090417","These models can help identify individuals at high risk of stroke and enable targeted interventions to prevent or manage stroke. Further research is needed to refine and validate these models for widespread use in clinical settings.","na"
"9","stroke","The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions","10.4236/jcc.2024.126005 ","The research indicates that GXboost could be a valuable tool for early stroke prediction, which could ultimately improve the chances of survival and recovery for stroke patients.","na"
"10","stroke","Performance of Machine Learning Algorithms for Heart Disease Prediction: Logistic Regressions Regularized by Elastic Net,  SVM, Random Forests, and Neural Networks","na","As such a model is not clinically useful nor relevant for medical prognostic purposes, it necessitates balancing the dataset prior to analyses.","The article used the stroke prediction dataset to predict heart disease which is a predictor in the dataset"
"11","stroke","Predictive Modelling of Stroke Occurrence among Patients using Machine Learning","na","Now that the models are in place, clinical practitioners, medical specialists, and decision-makers can utilize them to identify the most relevant factors associated with the incidence of strokes and assess the associated likelihood or risk.","na"
"12","stroke","Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning","10.1016/j.cmpbup.2025.100198","Therefore, the quality of medical treatment for stroke patients at RSUD Banyumas is expected to improve, and the mortality rate caused by stroke will decrease.","The article directly used the prediction model to predict the risk of stroke when discharged from hospital"
