"","doi"
"1","https://doi.org/10.1016/j.clineuro.2025.108761"
"2","https://doi.org/10.24018/ejece.2023.7.1.483"
"3","https://doi.org/10.1109/access.2023.3278273"
"4","https://doi.org/10.1038/s41598-024-61665-4"
"5","https://doi.org/10.1016/j.jneumeth.2024.110210"
"6","https://doi.org/10.1186/s12911-025-02894-z"
"7","https://doi.org/10.3390/bdcc7010045"
"8","https://doi.org/10.3390/app13085047"
"9","https://doi.org/10.1016/j.jnrt.2024.100156"
"10","https://doi.org/10.1088/2631-8695/adad3a"
"11","https://doi.org/10.3390/app15094639"
"12","https://doi.org/10.3390/info14080435"
"13","https://doi.org/10.1109/tse.2024.3350019"
"14","https://doi.org/10.3390/electronics13040686"
"15","https://doi.org/10.1016/j.imed.2023.06.002"
"16","https://doi.org/10.1016/j.heliyon.2024.e27411"
"17","https://doi.org/10.1016/j.ijmedinf.2025.105811"
"18","https://doi.org/10.47852/bonviewmedin42022470"
"19","https://doi.org/10.1002/hsr2.70062"
"20","https://doi.org/10.14569/ijacsa.2022.0131232"
"21","https://doi.org/10.20944/preprints202405.0975.v1"
"22","https://doi.org/10.3390/jcdd11070207"
"23","https://doi.org/10.3390/diagnostics14222514"
"24","https://doi.org/10.7717/peerj-cs.1684"
"25","https://doi.org/10.1080/10255842.2024.2316877"
"26","https://doi.org/10.29304/jqcsm.2024.16.11453"
"27","https://doi.org/10.1109/wams59642.2024.10528005"
"28","https://doi.org/10.3390/life13010237"
"29","https://doi.org/10.37802/joti.v4i2.278"
"30","https://doi.org/10.3390/a16090417"
"31","https://doi.org/10.17762/ijritcc.v11i10s.7616"
"32","https://doi.org/10.1155/2024/4523388"
"33","https://doi.org/10.1038/s41598-024-80129-3"
"34","https://doi.org/10.59461/ijdiic.v2i3.73"
"35","https://doi.org/10.1109/icpcsn62568.2024.00053"
"36","https://doi.org/10.1109/iconat57137.2023.10080722"
"37","https://doi.org/10.1109/icdt57929.2023.10151148"
"38","https://doi.org/10.4018/979-8-3693-5464-3.ch007"
"39","https://doi.org/10.1007/978-981-96-3358-6_42"
"40","https://doi.org/10.1007/s11042-025-20787-1"
"41","https://doi.org/10.1155/acis/7394597"
"42","https://doi.org/10.1177/20552076251336853"
"43","https://doi.org/10.48084/etasr.10292"
"44","https://doi.org/10.1016/j.eij.2025.100705"
"45","https://doi.org/10.31466/kfbd.1538305"
"46","https://doi.org/10.1016/j.neuri.2025.100215"
"47","https://doi.org/10.1016/b978-0-443-31624-1.00003-4"
"48","https://doi.org/10.1016/j.cmpbup.2025.100198"
"49","https://doi.org/10.1016/j.ijmedinf.2025.106041"
"50","https://doi.org/10.1063/5.0277178"
"51","https://doi.org/10.1063/5.0277172"
"52","https://doi.org/10.1063/5.0277180"
"53","https://doi.org/10.1109/ginotech63460.2025.11076988"
"54","https://doi.org/10.1007/978-3-031-94937-1_18"
"55","https://doi.org/10.1002/fsn3.70837"
"56","https://doi.org/10.17148/iarjset.2022.9620"
"57","https://doi.org/10.1109/raeeucci61380.2024.10547987"
"58","https://doi.org/10.1109/iccpct61902.2024.10672657"
"59","https://doi.org/10.1109/access.2024.3386220"
"60","https://doi.org/10.1109/icaccess61735.2024.10499584"
"61","https://doi.org/10.62411/jcta.10516"
"62","https://doi.org/10.1016/j.seizure.2024.06.011"
"63","https://doi.org/10.1109/aisc56616.2023.10085514"
"64","https://doi.org/10.1109/iscon57294.2023.10112188"
"65","https://doi.org/10.1109/icict57646.2023.10134192"
"66","https://doi.org/10.1007/s11042-023-16009-1"
"67","https://doi.org/10.1007/978-3-031-47055-4_10"
"68","https://doi.org/10.1109/bigdata59044.2023.10386474"
"69","https://doi.org/10.24996/ijs.2023.64.12.39"
"70","https://doi.org/10.1109/iemecon56962.2023.10092374"
"71","https://doi.org/10.1109/icaiss58487.2023.10250666"
"72","https://doi.org/10.1109/icict4sd59951.2023.10303319"
"73","https://doi.org/10.4218/etrij.2022-0271"
"74","https://doi.org/10.1063/5.0185040"
"75","https://doi.org/10.52783/jes.1117"
"76","https://doi.org/10.15575/join.v9i1.1249"
"77","https://doi.org/10.1007/978-3-031-59131-0_13"
"78","https://doi.org/10.1109/iccds60734.2024.10560429"
"79","https://doi.org/10.1109/ic3se62002.2024.10593413"
"80","https://doi.org/10.1109/intcec61833.2024.10602984"
"81","https://doi.org/10.7759/s44389-024-02268-y"
"82","https://doi.org/10.1109/iccci56745.2023.10128293"
"83","https://doi.org/10.20944/preprints202306.1444.v1"
"84","https://doi.org/10.1007/978-981-99-3878-0_25"
"85","https://doi.org/10.1109/conit59222.2023.10205861"
"86","https://doi.org/10.1109/iccpct58313.2023.10245699"
"87","https://doi.org/10.1109/ccis59572.2023.10263235"
"88","https://doi.org/10.1109/iciss59129.2023.10291404"
"89","https://doi.org/10.1109/pais60821.2023.10322003"
"90","https://doi.org/10.1109/eict61409.2023.10427860"
"91","https://doi.org/10.33096/ilkom.v14i3.1328.218-228"
"92","https://doi.org/10.5815/ijeme.2023.02.04"
"93","https://doi.org/10.22214/ijraset.2023.53345"
"94","https://doi.org/10.1109/wconf58270.2023.10235122"
