,type,title,doi,x5a,x5b,x6a,x7,x8a,x9a,x9b,x10,x11,cpm_type,first_auth_country,ethics,helsinki,practical_use,other_comments
1,stroke,PREDICTIVE MODELING OF STROKE OCCURRENCE USING PYTHON FOR IMPROVED RISK ASSESSMENT,10.5937/jpmnt12-50921,no,no,no,yes,no,no,no,no,yes,development,Serbia,no statement,no statement,"By helping healthcare professionals identify and intervene early, the created model can improve patient outcomes and lessen the burden of stroke-related morbidity and mortality. Ideally, the treating physician could predict the outcome under different circumstances beforehand and thus make an informed treatment decision",Article called the dataset a survey of stroke patients
2,stroke,A-Tuning Ensemble Machine Learning Technique for Cerebral Stroke Prediction,10.3390/app13085047,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,na,"Possible AI written text with quotes including ""The proposed approach presents great significance in addressing the risk of stroke since individuals experiencing memory impairments face challenges in cognitive functioning and decision-making abilities in asocial context."""
3,stroke,"Enhancing accuracy in brain stroke detection: Multi-layer perceptron with Adadelta, RMSProp and AdaMax optimizers",10.3389/fbioe.2023.1257591,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"The aim of the proposed model is to raise the standard of stroke diagnosis, enabling doctors to identify stroke quickly and reliably and to begin the appropriate treatment as soon as feasible.",na
4,stroke,Early Prediction of Stroke Based on Deep and Machine Learning by Applying Medical Imaging and Tabular Data,10.18280/mmep.111228,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,na,"Typos or weird phrasing in the text "" The data set approved in this work consists of 5110 rows, and of these rows, 4861 of them are for cases that do not suffer from stroke, while 249 are aunts, and this represents an imbalance in the data."""
5,stroke,Heart disease severity level identification system on Hyperledger consortium network,10.7717/peerj-cs.1626,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,na,This article uses multiple different datasets to predict heart disease. The stroke dataset is one used to predict heart disease
6,stroke,A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction,10.1038/s41598-025-11263-9,no,no,no,yes,no,no,no,no,yes,development,Egypt,no statement,no statement,"Given the absence of external validation or real-world testing, our model is not yet suitable for clinical deployment.",Had mention that it should not be used in practice
7,stroke,An Intuitive Approach on Transfer Learning with an IBF+IHP Model for Stroke Classification and Prediction,10.48084/etasr.9031,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"Further innovation and collaboration should further refine and validate the proposed model for deployment in clinical settings, ultimately improving patient outcomes and advancing the field of precision medicine.",na
8,stroke,Stroke Prediction Using Machine Learning Method with Extreme Gradient Boosting Algorithm,10.30812/matrik.v21i3.1666,no,no,no,yes,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,na
9,stroke,Crunch Mode: Make Early Predictions about Risk of Stroke Using Machine Learning,10.56977/jicce.2025.23.1.17,no,no,no,yes,no,no,no,no,yes,development,Republic of Korea,no statement,no statement,This will not only help to improve the quality of prediction but also support the development of more effective medical interventions and preventive measures to protect public health.,na
10,stroke,Predicting Stroke Risk with Machine Learning and Hyperparameter Optimization,10.31466/kfbd.1538305,no,no,no,yes,no,no,no,no,yes,development,Turkey,statement complies with ethics,no statement,"The findings offer a valuable foundation for developing real-time, ML-based stroke screening systems in healthcare settings.",na
11,stroke,Comparative analysis of resampling algorithms in the prediction of stroke diseases,10.56919/usci.2123.011,no,no,no,yes,no,no,no,no,yes,development,Nigeria,no statement,no statement,na,The article primarily was comparing resampling techniques but did develop a prediction model
12,stroke,Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data,10.56286/1vf19469,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,"Moreover, KNN model showed high prediction speed and low training time, making it suitable for medical data classification.",na
13,stroke,An Optimization Precise Model of Stroke Data to Improve Stroke Prediction,10.3390/a16090417,no,no,no,yes,no,no,no,no,yes,development,Bulgaria,no statement,no statement,These models can help identify individuals at high risk of stroke and enable targeted interventions to prevent or manage stroke. Further research is needed to refine and validate these models for widespread use in clinical settings.,na
14,stroke,The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions,10.4236/jcc.2024.126005 ,no,no,no,yes,no,no,no,no,yes,development,Libyra,no statement,no statement,"The research indicates that GXboost could be a valuable tool for early stroke prediction, which could ultimately improve the chances of survival and recovery for stroke patients.",na
15,stroke,"Performance of Machine Learning Algorithms for Heart Disease Prediction: Logistic Regressions Regularized by Elastic Net,  SVM, Random Forests, and Neural Networks",na,no,no,no,yes,no,no,no,no,yes,development,United States of America,no statement,no statement,"As such a model is not clinically useful nor relevant for medical prognostic purposes, it necessitates balancing the dataset prior to analyses.",The article used the stroke prediction dataset to predict heart disease which is a predictor in the dataset
16,stroke,Predictive Modelling of Stroke Occurrence among Patients using Machine Learning,10.61453/intij.202355,no,no,no,yes,no,no,no,no,yes,development,Malaysia,no statement,no statement,"Now that the models are in place, clinical practitioners, medical specialists, and decision-makers can utilize them to identify the most relevant factors associated with the incidence of strokes and assess the associated likelihood or risk.",na
17,stroke,Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning,10.1016/j.cmpbup.2025.100198,no,no,no,no,no,no,no,no,no,development,Indonesia,statement that ethics was approved,no statement,"Therefore, the quality of medical treatment for stroke patients at RSUD Banyumas is expected to improve, and the mortality rate caused by stroke will decrease.",The article directly used the prediction model to predict the risk of stroke when discharged from hospital
18,stroke,Hybrid Features Binary Classification of Imbalance Stroke Patients Using Different Machine Learning Algorithms,10.46300/91011.2022.16.20,no,no,no,no,no,no,no,no,yes,development,Pakistan,no statement,no statement,na,na
19,stroke,Privacy-enhanced heart stroke detection using Federated Learning and Homomorphic Encryption,10.1016/j.smhl.2025.100594,no,no,no,yes,no,no,no,no,no,development,India,statement that ethics was not applicable,no statement,"The implications of these findings are highly relevant for real-world healthcare systems. By facilitating early and accurate heart stroke detection, this approach has the potential to support timely clinical decisions and reduce stroke-related mortality.",uses the stroke prediction dataset but the main outcome is heart stroke which is not the outcome of the dataset
20,stroke,Detection of Stroke (Cerebrovascular Accident) Using Machine Learning Methods,10.17798/bitlisfen.1539189,no,no,no,no,no,no,no,no,no,development,Turkey,statement that it complied with research and publication ethics,no statement,Efforts should be made to integrate these predictive models into clinical decision support systems to assist healthcare professionals in early stroke detection and management. Providing user-friendly interfaces and decision aids will enhance the practical utility of these models.,
21,stroke,Stroke Prediction Using Machine Learning,na,no,no,no,yes,no,no,no,no,yes,development,United States of America,no statement,no statement,"The stroke prediction model was deployed on a Shiny app to enhance accessibility and usability. Utilizing Shiny, a R package, an interactive web application was created directly from R scripts. This interactive platform is a tangible outcome of the research, bringing the benefits of predictive analytics directly to end-users and reinforcing the potential impact of data science in the healthcare domain.",A shiny app was developed and this model may have been used in practice
22,stroke,AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING,10.61841/turcomat.v11i3.14508,no,no,no,no,no,no,no,no,no,unsure,India,no statement,no statement,"Thus, the Brain Stroke Prediction system has been implemented using the given 5 Machine Learning algorithm given a highest accuracy of 98.56%. The system is therefore designed providing simple yet efficient User Interface design with an empathetic approach towards their users and patients. The system has a potential for future scope which could lead to better results a better user experience. This will help the user to save their valuable time and will help them to take appropriate measures based on the results provided.",Error in reporting the authors mentione 73% training dataset and 37% testing dataset which is 110%. May or may not be a clinical prediction model study
23,stroke,Design and Development of Modified Ensemble Learning with Weighted RBM Features for Enhanced Multi-disease Prediction Model,10.1007/s00354-022-00190-2,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,na,The article developed one clinical prediction model using multiple different disease datasets. 
24,stroke,Stroke Prediction Using the Trust Evaluation with Data Leakage Avoiding,10.1088/1742-6596/2560/1/012051,yes,no,yes,yes,no,no,no,no,yes,development,China,no statement,no statement,na,The article mentions the data comes from bangladesh clinics.
25,stroke,A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction,10.3390/s25061739,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,na,Article did mention that more work is needed before any practical application
26,stroke,Unlocking stroke prediction: Harnessing projection-based statistical feature extraction with ML algorithms,10.1016/j.heliyon.2024.e27411 ,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,statement that ethical approval is not required,no statement,"In order to implement the trained random forest classification model, a web application and flask application are developed. An application to facilitate efficient and rapid detection of this disease for healthcare professionals will be developed in the area of further research.",Article mentions that a web based prediction tool was developed and implemented
27,stroke,Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ,10.54097/hset.v39i.6712,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"These findings suggest that this approach may be useful in identifying individuals at high risk for stroke, and could potentially be used in clinical settings to guide preventative measures.","Problematic issues like changing data without logical reason. ""from unkown"" to ""never_smoked"", as it is unlikely that these individuals have smoked""."
28,stroke,Optimizing Accuracy of Stroke Prediction Using Logistic Regression,10.37802/joti.v4i2.278,no,no,no,yes,no,no,no,no,yes,development,Iraq,no statement,no statement,"Results indicate that, in comparison to the other five LR based model, our model can be a useful tool for predicting the occurrence of stroke with the accuracy of 0.86 percent, an AUC of 0.93 percent and an F-measure of 0.87 percent, the model can distinguish itself from other models and outperforms the other methods.",na
29,stroke,Enhanced Stroke Risk Prediction: A Fusion of Machine Learning Models for Improved Healthcare Strategies,10.1007/s42979-024-03389-w,yes,no,yes,yes,no,no,no,no,no,development,India,no statement,no statement,"XAI makes these complicated models interpretable, helping medical professionals and patients understand the decision-making process and follow personalized healthcare recommendations.",article mentioned that the dataset comes from clinics in bangladesh
30,stroke,Navigating Heart Stroke Terrain: A Cutting-Edge Feed-Forward Neural Network Expedition,10.47738/jads.v6i3.763,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,Collaboration with healthcare professionals to integrate the FFN model into clinical practice for real-time patient risk assessment is crucial. Developing a user-friendly interface for healthcare providers to easily access and interpret model predictions is essential for practical implementation.,na
31,stroke,Stroke prediction based on improved machine learning algorithm,10.1117/12.2659156,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"For the method of manual data input, users can manually input gender, age, heart disease, married history, type of work, type of residence, average blood glucose level, BMI, smoking status, and adjust the new features constructed in this study.",Article appears to have made a web based application for the prediction model
32,stroke,Stroke risk prediction using multiple machine learning algorithms,10.1117/12.2673750,no,no,no,yes,no,no,no,no,yes,development,China,no statement,no statement,This machine learning model has excellent clinical potential to function as a more reliable assessment in the future by adding global multicenter data. It has superior clinical potential as a more reliable diagnostic tool to enhance stroke prediction.,na
33,stroke,Predicting stroke risk: An effective stroke prediction model based on neural networks,10.1016/j.jnrt.2024.100156,no,no,no,yes,no,no,no,no,yes,development,India,statement that ethics is not applicable,no statement,"The usage of these models in actual clinical settings could also be studied, with an emphasis on creating approachable tools and user interfaces for the prospective adoption of machine learning in stroke prediction.",The article identifies the outcome as a heart stroke not a brain stroke
34,stroke,A Hybrid Machine Learning Approach to Predict the Risk of Having Stroke,10.1145/3542954.3543020,no,no,no,yes,no,no,no,no,yes,development,Bangladesh,no statement,no statement,The essential intent of this research was to develop the flow work with an inventive and novel method of building the model and to make the model valuable and effectively implementable in viable settings.,na
35,stroke,Harnessing the hybrid machine learning methods for stroke risk classification,10.1080/10255842.2025.2501636,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,na,na
