,type,title,doi,rescreen_7
1,stroke,PREDICTIVE MODELING OF STROKE OCCURRENCE USING PYTHON FOR IMPROVED RISK ASSESSMENT,10.5937/jpmnt12-50921,no
2,stroke,A-Tuning Ensemble Machine Learning Technique for Cerebral Stroke Prediction,10.3390/app13085047,no
3,stroke,"Enhancing accuracy in brain stroke detection: Multi-layer perceptron with Adadelta, RMSProp and AdaMax optimizers",10.3389/fbioe.2023.1257591,no
4,stroke,Early Prediction of Stroke Based on Deep and Machine Learning by Applying Medical Imaging and Tabular Data,10.18280/mmep.111228,no
5,stroke,Heart disease severity level identification system on Hyperledger consortium network,10.7717/peerj-cs.1626,no
6,stroke,A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction,10.1038/s41598-025-11263-9,no
7,stroke,An Intuitive Approach on Transfer Learning with an IBF+IHP Model for Stroke Classification and Prediction,10.48084/etasr.9031,no
8,stroke,Stroke Prediction Using Machine Learning Method with Extreme Gradient Boosting Algorithm,10.30812/matrik.v21i3.1666,no
9,stroke,Crunch Mode: Make Early Predictions about Risk of Stroke Using Machine Learning,10.56977/jicce.2025.23.1.17,no
10,stroke,Predicting Stroke Risk with Machine Learning and Hyperparameter Optimization,10.31466/kfbd.1538305,no
11,stroke,Comparative analysis of resampling algorithms in the prediction of stroke diseases,10.56919/usci.2123.011,no
12,stroke,Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data,10.56286/1vf19469,no
13,stroke,An Optimization Precise Model of Stroke Data to Improve Stroke Prediction,10.3390/a16090417,no
14,stroke,The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions,10.4236/jcc.2024.126005 ,no
15,stroke,"Performance of Machine Learning Algorithms for Heart Disease Prediction: Logistic Regressions Regularized by Elastic Net,  SVM, Random Forests, and Neural Networks",na,no
16,stroke,Predictive Modelling of Stroke Occurrence among Patients using Machine Learning,10.61453/intij.202355,no
17,stroke,Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning,10.1016/j.cmpbup.2025.100198,no
18,stroke,Hybrid Features Binary Classification of Imbalance Stroke Patients Using Different Machine Learning Algorithms,10.46300/91011.2022.16.20,no
19,stroke,Privacy-enhanced heart stroke detection using Federated Learning and Homomorphic Encryption,10.1016/j.smhl.2025.100594,no
20,stroke,Detection of Stroke (Cerebrovascular Accident) Using Machine Learning Methods,10.17798/bitlisfen.1539189,no
21,stroke,Stroke Prediction Using Machine Learning,na,no
22,stroke,AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING,10.61841/turcomat.v11i3.14508,no
23,stroke,Design and Development of Modified Ensemble Learning with Weighted RBM Features for Enhanced Multi-disease Prediction Model,10.1007/s00354-022-00190-2,no
24,stroke,Stroke Prediction Using the Trust Evaluation with Data Leakage Avoiding,10.1088/1742-6596/2560/1/012051,no
25,stroke,A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction,10.3390/s25061739,no
26,stroke,Unlocking stroke prediction: Harnessing projection-based statistical feature extraction with ML algorithms,10.1016/j.heliyon.2024.e27411 ,no
27,stroke,Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ,10.54097/hset.v39i.6712,no
28,stroke,Optimizing Accuracy of Stroke Prediction Using Logistic Regression,10.37802/joti.v4i2.278,no
29,stroke,Enhanced Stroke Risk Prediction: A Fusion of Machine Learning Models for Improved Healthcare Strategies,10.1007/s42979-024-03389-w,no
30,stroke,Navigating Heart Stroke Terrain: A Cutting-Edge Feed-Forward Neural Network Expedition,10.47738/jads.v6i3.763,no
31,stroke,Stroke prediction based on improved machine learning algorithm,10.1117/12.2659156,no
32,stroke,Stroke risk prediction using multiple machine learning algorithms,10.1117/12.2673750,no
33,stroke,Predicting stroke risk: An effective stroke prediction model based on neural networks,10.1016/j.jnrt.2024.100156,no
34,stroke,A Hybrid Machine Learning Approach to Predict the Risk of Having Stroke,10.1145/3542954.3543020,no
35,stroke,Harnessing the hybrid machine learning methods for stroke risk classification,10.1080/10255842.2025.2501636,no
36,stroke,Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings,10.37256/ccds.6220256976,yes
37,stroke,Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction,10.4108/eetsis.7022,no
38,stroke,A Web-Based Interface That Leverages Machine Learning to Assess an Individual’s Vulnerability to Brain Stroke,10.1109/ACCESS.2025.3566093,no
39,stroke,Brain stroke prediction model based on boosting and stacking ensemble approach,10.1007/s41870-023-01418-0,no
40,stroke,Stroke Disease Detection and Prediction Using Robust Learning Approaches,10.1155/2021/7633381,no
41,stroke,COMPUTATIONAL HEALTH CARE ANALYSIS USING HADOOP – STROKE PREDICTION ,na,no
42,stroke,A Hybrid Deep Learning Approach for Improved Detection and Prediction of Brain Stroke,10.3390/app15094639,no
43,stroke,Prediction of Stroke Disease Using Deep CNN Based Approach,10.12720/jait.13.6.604-613,no
44,stroke,An Interpretable Approach with Explainable AI for Heart Stroke Prediction,10.3390/diagnostics14020128,no
45,stroke,Multi-Layer Perceptron For Diagnosing Stroke With The SMOTE Method In Overcoming Data Imbalances,10.37058/innovatics.v5i1.6565,no
46,stroke,An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment,10.1038/s41598-025-96541-2,no
47,stroke,Stroke Prediction based on Integrated Models of Biological Risk Factors,10.1145/3644116.3644171,no
48,stroke,A Glimpse to the Future: Identifying Stroke Risk Factors Using Data Visualization for Stroke Prediction,10.56741/esl.v3i01.470,no
49,stroke,A hybrid system to predict brain stroke using a combined feature selection and classifier,10.1016/j.imed.2023.06.002,no
50,stroke,Revolutionizing heart attack prognosis: Introducing an innovative regression model for prediction,10.1016/j.imu.2025.101664,no
51,stroke,An Ensemble Machine Learning and Data Mining Approach to Enhance Stroke Prediction,10.3390/bioengineering11070672,no
52,stroke,Intelligent Stroke Disease Prediction Model Using Deep Learning Approaches,10.1155/2024/4523388,no
