"","web_address","title","doi","type","pdf","english","search","uses_data"
"1","https://pdfs.semanticscholar.org/5927/bd097c9ae86ac998d4b5d75f32b12fb72bc8.pdf","Fusing Attention and Convolution: A Hybrid Model for Brain Stroke Prediction","10.4108/eetsis.7022","article","yes","yes","stroke","yes"
"2","https://pdfs.semanticscholar.org/92bd/37f4f0bfa3371145b4aa8642011eb59054e4.pdfy","Logistic Regression for Stroke Prediction: An Evaluation of its Accuracy and Validity ","na","article","yes","yes","stroke","yes"
"3","https://universalcollegeofengineering.edu.in/wp-content/uploads/2024/03/3.3.1-COMP-MERGED-36-41.pdf","BrainOK: Brain Stroke Prediction using Machine Learning","na","article","yes","yes","stroke","yes"
"4","https://www.mdpi.com/1999-4893/16/9/417","An Optimization Precise Model of Stroke Data to Improve Stroke Prediction","10.3390/a16090417","article","yes","yes","stroke","yes"
"5","https://www.tmrjournals.com/public/articlePDF/20240318/2ee0c7402a3d89f27da97a71a00f1978.pdf","A machine learning approach for predictings stroke","10.53388/MDM202407015","article","yes","yes","stroke","yes"
"6","https://www.mdpi.com/2076-3417/15/9/4639","A Hybrid Deep Learning Approach for Improved Detection and Prediction of Brain Stroke","10.3390/app15094639","article","yes","yes","stroke","yes"
"7","https://peerj.com/articles/cs-1626/","Heart disease severity level identification system on Hyperledger consortium network","10.7717/peerj-cs.1626","article","yes","yes","stroke","yes"
"8","https://www.researchgate.net/profile/Eka-Miranda-3/publication/387197185_Enhancing_automatic_early_arteriosclerosis_prediction_an_explainable_machine_learning_evidence/links/676bb328e74ca64e1f2b60cb/Enhancing-automatic-early-arteriosclerosis-prediction-an-explainable-machine-learning-evidence.pdf","Enhancing automatic early arteriosclerosis prediction: an explainable machine learning evidence","10.1016/j.ceh.2024.12.003","article","yes","yes","stroke","yes"
"9","https://link.springer.com/article/10.1007/s42235-022-00216-x","An Efficient Hybrid Model Based on Modified Whale Optimization Algorithm and Multilayer Perceptron Neural Network for Medical Classification Problems","10.1007/s42235-022-00216-x","article","yes","yes","stroke","yes"
"10","https://www.sciencedirect.com/science/article/pii/S2665917423001575","A novel Swarm Optimized Clustering based genetic algorithm for medical decision support system","10.1016/j.measen.2023.100821","article","yes","yes","stroke","yes"
"11","https://ijs.uobaghdad.edu.iq/index.php/eijs/article/view/8682","Machine Learning Prediction of Brain Stroke at an Early Stage","10.24996/ijs.2023.64.12.39","article","yes","yes","stroke","yes"
"12","https://iopscience.iop.org/article/10.1088/2058-9565/ad934d/meta","Quantum-inspired attribute selection algorithms","10.1088/2058-9565/ad934d","article","yes","yes","stroke","yes"
"13","https://www.researchgate.net/publication/366925808_Classification_of_stroke_patients_using_data_mining_with_AdaBoost_Decision_Tree_and_Random_Forest_models","Classification of stroke patients using data mining with AdaBoost, Decision Tree and Random Forest models","na","article","yes","yes","stroke","yes"
"14","https://www.mdpi.com/2306-5354/11/7/672","An Ensemble Machine Learning and Data Mining Approach to Enhance Stroke Prediction","10.3390/bioengineering11070672","article","yes","yes","stroke","yes"
"15","https://dl.acm.org/doi/abs/10.1145/3512850.3512856","A Multi-layer Approach for Data Cleaning in the Healthcare Domain","10.1145/3512850.3512856","article","yes","yes","stroke","yes"
"16","https://www.scirp.org/journal/paperinformation?paperid=134020","The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions","10.4236/jcc.2024.126005 ","article","yes","yes","stroke","yes"
"17","https://www.tandfonline.com/doi/abs/10.1080/17445760.2022.2085703","Re-configurable, expandable, and cost-effective heterogeneous FPGA cluster approach for resource-constrained data analysis","10.1080/17445760.2022.2085703","article","yes","yes","stroke","yes"
"18","https://e-journals.dinamika.ac.id/joti/article/view/278","Optimizing Accuracy of Stroke Prediction Using Logistic Regression","10.37802/joti.v4i2.278","article","yes","yes","stroke","yes"
"19","https://www.tandfonline.com/doi/abs/10.1080/10255842.2025.2501636","Harnessing the hybrid machine learning methods for stroke risk classification","10.1080/10255842.2025.2501636","article","yes","yes","stroke","yes"
"20","https://dergipark.org.tr/en/pub/fujece/issue/92842/1694558y","Machine Learning Approaches in Medical Data Processing: A Proposal for an Intelligent Stroke Diagnosis System","10.62520/fujece.1694558","article","yes","yes","stroke","yes"
"21","https://pubs.aip.org/aip/acp/article/3227/1/050002/3339310/Brain-stroke-detection-using-machine-learning","Brain stroke detection using machine learning","10.1063/5.0241582","article","yes","yes","stroke","yes"
"22","https://ami.info.umfcluj.ro/index.php/AMI/article/view/927","Optimization of Machine Learning Algorithms with Bagging and AdaBoost Methods for Stroke Disease Prediction","na","article","yes","yes","stroke","yes"
"23","https://onlinelibrary.wiley.com/doi/full/10.1155/2024/4523388y","Intelligent Stroke Disease Prediction Model Using Deep Learning Approaches","10.1155/2024/4523388","article","yes","yes","stroke","yes"
"24","https://www.nature.com/articles/s41597-024-04019-z","An Open Source Python Library for Anonymizing Sensitive Data","10.1038/s41597-024-04019-z","article","yes","yes","stroke","yes"
"25","https://journal.unpak.ac.id/index.php/komputasi/article/view/8265","Web Design for Stroke Early Detection Using Decision Tree C5.0"," 10.33751/komputasi.v20i2.8265","article","yes","yes","stroke","yes"
"26","https://npublications.com/journals/bio/2022/a402010-020(2022).pdf","Hybrid Features Binary Classification of Imbalance Stroke Patients Using Different Machine Learning Algorithms","10.46300/91011.2022.16.20","article","yes","yes","stroke","yes"
"27","https://journal.universitasbumigora.ac.id/index.php/matrik/article/view/3555","Stroke Prediction with Enhanced Gradient Boosting Classifier and Strategic Hyperparameter","10.30812/matrik.v23i2.3555","article","yes","yes","stroke","yes"
"28","https://join.if.uinsgd.ac.id/index.php/join/article/view/1249","Analysis of Data and Feature Processing on Stroke Prediction using Wide Range Machine Learning Model","10.15575/join.v9i1.1249","article","yes","yes","stroke","yes"
"29","https://ieeexplore.ieee.org/abstract/document/10722885","Are Machine Learning Classifiers Robust Enough Against Poisoned Datasets?","10.1109/MRL.2024.3468213","article","yes","yes","stroke","yes"
"30","https://www.researchgate.net/profile/Jaber-Alwidian/publication/360948065_A_Predictive_Model_of_Stroke_Diseases_using_Machine_Learning_Techniques/links/63611c7a6e0d367d91e7b7a6/A-Predictive-Model-of-Stroke-Diseases-using-Machine-Learning-Techniques.pdf","A Predictive Model of Stroke Diseases using Machine Learning Techniques","10.35940/ijrte.A6900.0511122","article","yes","yes","stroke","yes"
"31","https://www.cell.com/heliyon/fulltext/S2405-8440(24)09815-3","A Novel generalization of sequential decision-theoretic rough set model and its application","10.1016/j.heliyon.2024.e33784 ","article","yes","yes","stroke","yes"
"32","https://link.springer.com/article/10.1007/s11227-025-06919-2","Unlocking the power of optimized data balancing ratios: a new frontier in tackling imbalanced datasets","10.1007/s11227-025-06919-2","article","yes","yes","stroke","yes"
"33","https://www.researchgate.net/profile/Sameer_Shukla3/publication/372882469_Enhancing_Healthcare_Insights_Exploring_Diverse_Use-Cases_with_K-means_Clustering/links/666e5dc5a54c5f0b94664547/Enhancing-Healthcare-Insights-Exploring-Diverse-Use-Cases-with-K-means-Clustering.pdf","Enhancing Healthcare Insights, Exploring Diverse Use-Cases with K-means Clustering","na","article","yes","yes","stroke","yes"
"34","https://link.springer.com/article/10.1007/s12539-023-00583-x","CA-UNet Segmentation Makes a Good Ischemic Stroke Risk Prediction","10.1007/s12539-023-00583-x","article","yes","yes","stroke","yes"
"35","https://link.springer.com/article/10.1007/s00354-022-00190-2","Design and Development of Modified Ensemble Learning with Weighted RBM Features for Enhanced Multi-disease Prediction Model","10.1007/s00354-022-00190-2","article","yes","yes","stroke","yes"
"36","https://faculty.uobasrah.edu.iq/uploads/publications/1733982324.pdf","Pre-Diagnosing the Stroke Using Artificial Neural Network ","10.14704/nq.2022.20.10.NQ55093","article","yes","yes","stroke","yes"
"37","https://ieeexplore.ieee.org/abstract/document/10930894/","When Poor-Quality Data Meet Anonymization Models: Threats and Countermeasures","10.1109/ACCESS.2025.3552412","article","yes","yes","stroke","yes"
"38","https://link.springer.com/article/10.1007/s12553-024-00847-6","Utility of GAN generated synthetic data for cardiovascular diseases mortality prediction: an experimental study","10.1007/s12553-024-00847-6","article","yes","yes","stroke","yes"
"39","https://ieeexplore.ieee.org/abstract/document/9801625/","FMCPNN in Digital Twins Smart Healthcare","10.1109/MCE.2022.3184441","article","yes","yes","stroke","yes"
"40","https://www.researchgate.net/publication/365856223_Prediction_of_Stroke_Disease_Using_Deep_CNN_Based_Approach","Prediction of Stroke Disease Using Deep CNN Based Approach","10.12720/jait.13.6.604-613","article","yes","yes","stroke","yes"
"41","https://dl.acm.org/doi/abs/10.1145/3644116.3644171","Stroke Prediction based on Integrated Models of Biological Risk Factors","10.1145/3644116.3644171","article","yes","yes","stroke","yes"
"42","https://www.mdpi.com/2076-3417/13/8/5047","A-Tuning Ensemble Machine Learning Technique for Cerebral Stroke Prediction","10.3390/app13085047","article","yes","yes","stroke","yes"
"43","https://www.researchgate.net/profile/Qabeela-Thabit/publication/387570512_Early_Prediction_of_Stroke_Based_on_Deep_and_Machine_Learning_by_Applying_Medical_Imaging_and_Tabular_Data/links/6774f43300aa3770e0ccd561/Early-Prediction-of-Stroke-Based-on-Deep-and-Machine-Learning-by-Applying-Medical-Imaging-and-Tabular-Data.pdf","Early Prediction of Stroke Based on Deep and Machine Learning by Applying Medical Imaging and Tabular Data","10.18280/mmep.111228","article","yes","yes","stroke","yes"
"44","https://ieeexplore.ieee.org/abstract/document/11068036","A Machine Learning Framework for Stroke Prediction: Balancing Precision and Recall in Healthcare Analytics","10.1109/MeMeA65319.2025.11068036","article","yes","yes","stroke","yes"
"45","https://www.proquest.com/openview/a93395a894d0d154ee39f48aba0d76e6/1?pq-origsite=gscholar&cbl=5444811","Analyzing the Performance of Stroke Prediction using ML Classification Algorithms","10.14569/IJACSA.2021.0120662","article","yes","yes","stroke","yes"
"46","https://pmc.ncbi.nlm.nih.gov/articles/PMC11945820/","A Novel Explainable Attention-Based Meta-Learning Framework for Imbalanced Brain Stroke Prediction","10.3390/s25061739","article","yes","yes","stroke","yes"
"47","https://www.mdpi.com/1424-8220/24/21/6891","Adversarial Examples on XAI-Enabled DT for Smart Healthcare Systems","10.3390/s24216891","article","yes","yes","stroke","yes"
"48","https://ojs.wiserpub.com/index.php/CCDS/article/view/6976","Comparative Evaluation of Machine Learning Models for Stroke Prediction in Clinical Settings","10.37256/ccds.6220256976","article","yes","yes","stroke","yes"
"49","https://www.nature.com/articles/s41597-022-01894-2","A Python library to check the level of anonymity of a dataset","10.1038/s41597-022-01894-2","article","yes","yes","stroke","yes"
