type,title,doi,5a,5b,6a,7,8a,9a,9b,10,11,cpm_type,first_auth_country,ethics,helsinki,practical use,other comments
data,stroke prediction dataset,na,no,no,no,no,no,no,no,no,no,na,na,na,na,"(Confidential Source) - Use only for educational purposes If you use this dataset in your research, plrease credit the author.",na
data,diabetes prediction dataset,na,no,no,no,no,no,no,no,no,no,na,na,na,na,The dataset can also be used for research purposes to identify potential risk factors for diabetes and to develop effective prevention and treatment strategies.,na
diabetes,Stacking with Recursive Feature Elimination-Isolation Forest for classification of diabetes mellitus,10.1371/journal.pone.0302595,no,no,no,no,no,no,no,no,yes,development,Malaysia,no statement,no statement,This study envisions SRFEI becoming a high-performing solution for various practical applications in diabetes.,The study also used another dataset the PIMA Indians diabetes dataset. The diabetes dataset was not the primary dataset used.
diabetes,Towards a Stacking Ensemble Model for Predicting Diabetes Mellitus using Combination of Machine Learning Techniques,10.14569/IJACSA.2023.0141236,no,no,no,no,no,no,no,no,no,development,Saudi Arabia,no statement,no statement,"As recommendations, our stacking model can be applied in a diagnostic application for diabetes mellitus; in addition, it can be tested on a new huge and diverse dataset to obtain more accurate results. Moreover, we can use deep-learning models to generate new patterns that help us diagnose DM robustly, which also can happen with different types of diabetes, such as type 1 and type 2 diabetes and gestational diabetes.",The study used another dataset the PIMA indians dataset as the primary dataset and validated the model on the diabetes prediction dataset
diabetes,PPVFL-SplitNN: Privacy-Preserving Vertical Federated Learning with Split Neural Networks for Distributed Patient Data,10.5220/0013445300003979,na,na,na,na,na,na,na,na,na,na,Australia,no statement,no statement,na,not a clinical prediction model study
diabetes,A novel approach for assessing fairness in deployed machine learning algorithms,10.1038/s41598-024-68651-w,na,na,na,na,na,na,na,na,na,na,Australia,no statement,no statement,na,not a clinical prediction model study
diabetes,Modelo predictivo de diabetes utilizando el proceso CRISP-DM para la prevención de la enfermedad implementando Machine Learning,10.17981/cesta.04.02.2023.02,no,no,no,no,no,yes,no,no,no,development,Colombia,no statement,no statement,There was no clear talk of any practical use of this model.,na
diabetes,Integrated bagging-RF learning model for diabetes diagnosis in middle-aged and elderly population,10.7717/peerj-cs.2436,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"The results of this study will not only help individuals receive the necessary medical interventions in a timely manner to reduce the incidence of diabetes mellitus and its complications, but will also have a significant impact on the health and quality of life of the entire middle-aged and elderly population.",na
diabetes,AN ALTERNATIVE PARAMETER FREE CLUSTERING ALGORITHM USING DATA POINT POSITIONING ANALYSIS (DPPA)– COMPARISON WITH DBSCAN,10.24507/ijicic.19.06.1805,na,na,na,na,na,na,na,na,na,na,Dubai,no statement,no statement,na,not a clinical prediction model study
diabetes,Performance Evaluation of Supervised Machine Learning Classifiers for Type 2 Diabetes Mellitus Prediction,10.34248/bsengineering.1618267,no,no,no,yes,no,no,no,no,no,development,Turkey,statement not needed,no statement,The study suggests that ML-based classifiers offer a reliable approach for accurately predicting T2DM and supporting medical professionals in clinical decision-making.,This article specifically was looking at developing a prediction model for type 2 diabetes
diabetes,DimBridge: Interactive Explanation of Visual Patterns in Dimensionality Reductions with Predicate Logic,10.1109/TVCG.2024.3456391,na,na,na,na,na,na,na,na,na,na,United States of America,no statement,no statement,na,This study was not developing a prediction model.
diabetes,Comparison of Neural Network Architectures for Diabetes Prediction,10.1016/j.procs.2025.02.198,na,na,na,na,na,na,na,na,na,na,Portugal,no statement,no statement,There was no clear talk of any practical use of this model.,is a conference paper
diabetes,PERFORMANCE EVALUATION OF SUPERVISED MACHINE LEARNING CLASSIFIERS FOR TYPE 2 DIABETES MELLITUS PREDICTION,10.34248/bsengineering.1618267 ,na,na,na,na,na,na,na,na,na,na,na,na,na,na,duplicate
diabetes,Diabetes Risk Prediction Model Based on Improved XGBoost with Genetic Algorithm,10.1145/3727993.372805,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,There was no clear talk of any practical use of this model.,Conclusions talked about the model was predicting the onset of diabetes.
diabetes,Comparing User Interface Designs for Explainable Artificial Intelligence ,na,na,na,na,na,na,na,na,na,na,na,United Kingdom,no statement,no statement,na,not a clinical prediction model study
diabetes,Enhancing Healthcare: Machine Learning for Diabetes Prediction and Retinopathy Risk Evaluation,10.14569/IJACSA.2024.0150703,no,no,no,yes,no,no,no,no,no,development,Lebanon,no statement,no statement,"This research provides a scalable and effective tool for diabetes and retinopathy risk evaluation, contributing significantly to the field by offering broader practical implications for healthcare providers. Thus, this study proposes an automatic diabetes prediction system that can be deployed on a website and an Android smartphone application using the XGBoost machine learning framework.",In the conclusions the authors talk as if a website has been produced for the prediction model but has not reference to a website and is unclear if it has been used in practice.
diabetes,Effective Diabetes Prediction using an IoT-based Integrated Ensemble Machine Learning Framework,10.48084/etasr.8869,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"ML algorithms can provide real-time feedback and decision support to patients and healthcare providers, helping them make informed decisions about insulin dosages, diet, exercise, and medication adjustments.",na
diabetes,SOL-AUTOCLUST: A SMART ONLINE-LEARNING AUTOMATED CLUSTERING FRAMEWORK,na,na,na,na,na,na,na,na,na,na,na,Egpyt,no statement,no statement,na,not a clinical prediction model study
diabetes,Prediction of diabetes using hybrid support vector machines with Artificial Bee Colony,10.1007/s13410-025-01478-x,no,no,no,no,no,no,no,no,no,validation,Algeria,statement not needed,no statement,"A prospective study in real-world clinical settings is essential to assess its role in identifying at-risk patients, guiding treatment decisions, and reducing misdiagnoses. Additionally, evaluating the model’s performance alongside existing clinical tools will provide valuable insights into its potential for integration into current healthcare workflows, ensuring its practical application in enhancing patient outcome.",This study did develop a clinical prediction model but used the dataset as validation dataset.
diabetes,Hi-Le and HiTCLe: Ensemble Learning Approaches for Early Diabetes Detection Using Deep Learning and Explainable Artificial Intelligence,10.1109/ACCESS.2024.3398198,no,no,no,yes,no,no,no,no,no,development,Pakistan,no statement,no statement,Our study advances the state-of-the-art in diabetes prediction by introducing these novel methodologies and demonstrating their superior performance. Also by providing insightful information and practical solutions for enhancing healthcare outcomes.,na
diabetes,A Machine Learning-Based Prediction Study for Type 2 Diabetic Mellitus,10.61173/zr192s24,no,no,no,yes,no,no,no,no,no,development,China,no statement,no statement,"In conclusion, the logistic regression model has a strong overall prediction ability, which can effectively and accurately achieve T2DM prediction and early screening, so that the risk population can receive early prevention and treatment, so as to reduce the incidence of diabetes. In addition, more targeted personalized treatment programs can be developed to reduce unnecessary medical costs and ultimately achieve accurate treatment of T2DM.",The study specifically looked predicting type 2 diabetes
diabetes,"Formulation of a Multi-Disease Comorbidity Prediction Framework: A Data-Driven Case Analysis on of Diabetes, Hypertension, and Cardiovascular Risk Trajectories",10.32996/jcsts.2023.5.3.12,no,no,no,yes,no,no,no,no,no,development,United States of America,no statement,no statement,"On the whole, the designed framework has shown the potential to serve as a clinical decision support tool, particularly in the setting of resource-limited facilities, wishing to integrate scalable and explainable solutions.",na
diabetes,Leveraging Data Mining Techniques for Presymptomatic Diabetes Likelihood Prediction,na,no,no,no,yes,no,no,no,no,no,development,United Arab Emirates,no statement,no statement,"Through its early detection capabilities, PreDiX can open the door to tailored preventative measures, such as changes to one's lifestyle, which can help reduce the risk of hyperglycemia and its complications. Because of this, PreDiX may help healthcare systems by lowering the demand for intensive medical treatments.",na
diabetes,Integrated Ensemble Model for Diabetes Mellitus Detection,10.14569/IJACSA.2024.0150423,no,no,no,no,no,no,no,no,no,validation,Saudi Arabia,no statement,no statement,"As a recommendation, our stacking model holds potential for deployment in diagnostic applications for diabetes mellitus.",na
diabetes,Advancing Diabetes Prediction: A Nuanced Six-Class Classification System and Risk Factor Interactions Investigation,10.2991/978-94-6463-300-9_71,no,no,no,no,no,no,no,no,no,validation,Saudi Arabia,no statement,no statement,na,Paper looks very similar to other ones by same authour
diabetes,Adaptive Federated Learning With Reinforcement Learning-Based Client Selection for Heterogeneous Environments,10.1109/ACCESS.2025.3591699,na,na,na,na,na,na,na,na,na,na,Bangladesh,no statement,no statement,na,not a clinical prediction model study
diabetes,Analyzing classification and feature selection strategies for diabetes prediction across diverse diabetes datasets,10.3389/frai.2024.1421751,no,no,no,no,no,no,no,no,no,na,India,no statement,no statement,na,not a clinical prediction model study
diabetes,Principal component analysis implementation on machine learning in diabetes classification,na,no,no,no,yes,no,no,no,no,no,na,Indonesia,no statement,no statement,na,not a clinical prediction model study
diabetes,Prediction of Type-II Diabetic through Blockchain Technology,10.17485/IJST/v18i15.3423,no,no,no,yes,no,no,no,no,no,development,India,no statement,no statement,From the above work it is concluded that the present work is related to the application of blockchain technology in revolutionizing diabetes prediction.,article was directly predicting type 2 diabetes
diabetes,Predicting Diabetes Mellitus with Machine Learning Techniques,10.58564/IJSER.4.2.2025.315,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,na,na
diabetes,An effective PO-RSNN and FZCIS based diabetes prediction and stroke analysis in the metaverse environment,10.1038/s41598-025-96541-2,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,na,paper looks as if it has been written with the use of AI
diabetes,Decentralized and Secure Collaborative Framework for Personalized Diabetes Prediction,10.3390/biomedicines12081916,na,na,na,na,na,na,na,na,na,na,United States of America,no statement,no statement,na,not a clinical prediction model study
diabetes,Development of Diabetes Diagnosis Tool Using Machine Learning,10.30880/eeee.2024.05.01.001,no,no,no,yes,no,no,no,no,yes,development,Malaysia,no statement,no statement,"In conclusion, this work successfully achieved its objectives of diabetes prediction using machine learning techniques, developing a graphical user interface simulation, and evaluating the prediction model based on accuracy. The work contributes to the field of healthcare by providing a reliable and user- friendly tool for early diabetes detection, potentially leading to improved patient care and management.",An windowed interface was produced for users to get predictions
diabetes,A predictive machine learning framework for diabetes,10.31127/tuje.1434305,no,no,no,yes,no,no,no,no,no,development,Nigeria,no statement,no statement,The model is intended to aid medical practitioners in the diagnostic process of diabetes.,na
diabetes,Data to Diagnosis: Evaluating Machine Learning Algorithms for Predictive Healthcare in Diabetes,10.21015/vtse.v13i3.2141,no,no,no,yes,no,no,no,no,no,development,Saudi Arabia,statement of ethics,no statement,"These algorithms can serve as helpful decision aids to support healthcare workers in the early detection of diabetes, particularly in resource-limited settings. For example, by incorporating predictive models into electronic health record (EHR) systems, warnings might be triggered when a patient’s demographic and clinical information indicate an increased risk of diabetes.",Ethics mentioned that informed conset was obtained from all individual participants in the study.
stroke,PREDICTIVE MODELING OF STROKE OCCURRENCE USING PYTHON FOR IMPROVED RISK ASSESSMENT,10.5937/jpmnt12-50921,no,no,no,yes,no,no,no,no,yes,development,Serbia,no statement,no statement,"By helping healthcare professionals identify and intervene early, the created model can improve patient outcomes and lessen the burden of stroke-related morbidity and mortality. Ideally, the treating physician could predict the outcome under different circumstances beforehand and thus make an informed treatment decision",Article called the dataset a survey of stroke patients
stroke,A-Tuning Ensemble Machine Learning Technique for Cerebral Stroke Prediction,10.3390/app13085047,no,no,no,yes,no,no,no,no,yes,development,Saudi Arabia,no statement,no statement,na,"Possible AI written text with quotes including ""The proposed approach presents great significance in addressing the risk of stroke since individuals experiencing memory impairments face challenges in cognitive functioning and decision-making abilities in asocial context."""
stroke,"Enhancing accuracy in brain stroke detection: Multi-layer perceptron with Adadelta, RMSProp and AdaMax optimizers",10.3389/fbioe.2023.1257591,no,no,no,yes,no,no,no,no,yes,development,India,no statement,no statement,"The aim of the proposed model is to raise the standard of stroke diagnosis, enabling doctors to identify stroke quickly and reliably and to begin the appropriate treatment as soon as feasible.",na
stroke,Early Prediction of Stroke Based on Deep and Machine Learning by Applying Medical Imaging and Tabular Data,10.18280/mmep.111228,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,na,"Typos or weird phrasing in the text "" The data set approved in this work consists of 5110 rows, and of these rows, 4861 of them are for cases that do not suffer from stroke, while 249 are aunts, and this represents an imbalance in the data."""
stroke,Heart disease severity level identification system on Hyperledger consortium network,10.7717/peerj-cs.1626,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,na,This article uses multiple different datasets to predict heart disease. The stroke dataset is one used to predict heart disease
stroke,A Comprehensive Survey on Rare Event Prediction,10.1145/3699955,na,na,na,na,na,na,na,na,na,na,United States of America,no statement,no statement,na,not a clinical prediction model study
stroke,XAutoML: A Visual Analytics Tool for Understanding and Validating Automated Machine Learning,10.1145/3625240,na,na,na,na,na,na,na,na,na,na,Germany,no statement,no statement,na,not a clinical prediction model study
stroke,A comprehensive explainable AI approach for enhancing transparency and interpretability in stroke prediction,10.1038/s41598-025-11263-9,no,no,no,yes,no,no,no,no,yes,development,Egypt,no statement,no statement,"Given the absence of external validation or real-world testing, our model is not yet suitable for clinical deployment.",Had mention that it should not be used in practice
stroke,A framework of Polar CanisFel optimization-based deep ensemble classifier with graph embedding for imbalanced data classification,10.3233/WEB-230248,na,na,na,na,na,na,na,na,na,na,India,no statement,no statement,na,not a clinical prediction model study
stroke,An Intuitive Approach on Transfer Learning with an IBF+IHP Model for Stroke Classification and Prediction,10.48084/etasr.9031,no,no,no,no,no,no,no,no,no,development,India,no statement,no statement,"Further innovation and collaboration should further refine and validate the proposed model for deployment in clinical settings, ultimately improving patient outcomes and advancing the field of precision medicine.",na
stroke,Stroke Prediction Using Machine Learning Method with Extreme Gradient Boosting Algorithm,10.30812/matrik.v21i3.1666,no,no,no,yes,no,no,no,no,yes,development,Indonesia,no statement,no statement,na,na
stroke,Crunch Mode: Make Early Predictions about Risk of Stroke Using Machine Learning,10.56977/jicce.2025.23.1.17,no,no,no,yes,no,no,no,no,yes,development,Republic of Korea,no statement,no statement,This will not only help to improve the quality of prediction but also support the development of more effective medical interventions and preventive measures to protect public health.,na
stroke,Predicting Stroke Risk with Machine Learning and Hyperparameter Optimization,10.31466/kfbd.1538305,no,no,no,yes,no,no,no,no,yes,development,Turkey,statement complies with ethics,no statement,"The findings offer a valuable foundation for developing real-time, ML-based stroke screening systems in healthcare settings.",na
stroke,Comparative analysis of resampling algorithms in the prediction of stroke diseases,10.56919/usci.2123.011,no,no,no,yes,no,no,no,no,yes,development,Nigeria,no statement,no statement,na,The article primarily was comparing resampling techniques but did develop a prediction model
stroke,Early Prediction of Stroke Risk Using Machine Learning Approaches and Imbalanced Data,10.56286/1vf19469,no,no,no,yes,no,no,no,no,no,development,Iraq,no statement,no statement,"Moreover, KNN model showed high prediction speed and low training time, making it suitable for medical data classification.",na
stroke,Adversarial Examples on XAI-Enabled DT for Smart Healthcare Systems,10.3390/s24216891,na,na,na,na,na,na,na,na,na,na,Saudi Arabia,no statement,no statement,na,not a clinical prediction model study
stroke,"Re-configurable, expandable, and cost-effective heterogeneous FPGA cluster approach for resource-constrained data analysis",10.1080/17445760.2022.2085703,na,na,na,na,na,na,na,na,na,na,United States of America,no statement,no statement,na,not a clinical prediction model study
stroke,Missing Value Imputation Methods for Electronic Health Records,10.1109/ACCESS.2023.3251919,na,na,na,na,na,na,na,na,na,na,Greece,no statement,no statement,na,not a clinical prediction model study
stroke,An Optimization Precise Model of Stroke Data to Improve Stroke Prediction,10.3390/a16090417,no,no,no,yes,no,no,no,no,yes,development,Bulgaria,no statement,no statement,These models can help identify individuals at high risk of stroke and enable targeted interventions to prevent or manage stroke. Further research is needed to refine and validate these models for widespread use in clinical settings.,na
stroke,The Early Warning Signs of a Stroke: An Approach Using Machine Learning Predictions,10.4236/jcc.2024.126005 ,no,no,no,yes,no,no,no,no,yes,development,Libyra,no statement,no statement,"The research indicates that GXboost could be a valuable tool for early stroke prediction, which could ultimately improve the chances of survival and recovery for stroke patients.",na
stroke,"Integrating metaheuristics and artificial intelligence for healthcare: basics, challenging and future directions",10.1007/s10462-024-10822-2,na,na,na,na,na,na,na,na,na,na,Egypt,no statement,no statement,na,not a clinical prediction model study
stroke,"Performance of Machine Learning Algorithms for Heart Disease Prediction: Logistic Regressions Regularized by Elastic Net,  SVM, Random Forests, and Neural Networks",na,no,no,no,yes,no,no,no,no,yes,development,United States of America,no statement,no statement,"As such a model is not clinically useful nor relevant for medical prognostic purposes, it necessitates balancing the dataset prior to analyses.",The article used the stroke prediction dataset to predict heart disease which is a predictor in the dataset
stroke,Predictive Modelling of Stroke Occurrence among Patients using Machine Learning,10.61453/intij.202355,no,no,no,yes,no,no,no,no,yes,development,Malaysia,no statement,no statement,"Now that the models are in place, clinical practitioners, medical specialists, and decision-makers can utilize them to identify the most relevant factors associated with the incidence of strokes and assess the associated likelihood or risk.",na
stroke,Enhancing stroke prediction models: A mixing of data augmentation and transfer learning for small-scale dataset in machine learning,10.1016/j.cmpbup.2025.100198,no,no,no,no,no,no,no,no,no,development,Indonesia,statement that ethics was approved,no statement,"Therefore, the quality of medical treatment for stroke patients at RSUD Banyumas is expected to improve, and the mortality rate caused by stroke will decrease.",The article directly used the prediction model to predict the risk of stroke when discharged from hospital
stroke,Hybrid Features Binary Classification of Imbalance Stroke Patients Using Different Machine Learning Algorithms,10.46300/91011.2022.16.20,no,no,no,no,no,no,no,no,yes,development,Pakistan,no statement,no statement,na,na
stroke,Defending Federated Learning from Collaborative Poisoning Attacks: A Clique-Based Detection Framework,10.3390/electronics14102011,na,na,na,na,na,na,na,na,na,na,Greece,no statement,no statement,na,not a clinical prediction model study
stroke,Privacy-enhanced heart stroke detection using Federated Learning and Homomorphic Encryption,10.1016/j.smhl.2025.100594,no,no,no,yes,no,no,no,no,no,development,India,statement that ethics was not applicable,no statement,"The implications of these findings are highly relevant for real-world healthcare systems. By facilitating early and accurate heart stroke detection, this approach has the potential to support timely clinical decisions and reduce stroke-related mortality.",uses the stroke prediction dataset but the main outcome is heart stroke which is not the outcome of the dataset
stroke,Detection of Stroke (Cerebrovascular Accident) Using Machine Learning Methods,10.17798/bitlisfen.1539189,no,no,no,no,no,no,no,no,no,development,Turkey,statement that it complied with research and publication ethics,no statement,Efforts should be made to integrate these predictive models into clinical decision support systems to assist healthcare professionals in early stroke detection and management. Providing user-friendly interfaces and decision aids will enhance the practical utility of these models.,
stroke,Stroke Prediction Using Machine Learning,na,no,no,no,yes,no,no,no,no,yes,development,United States of America,no statement,no statement,"The stroke prediction model was deployed on a Shiny app to enhance accessibility and usability. Utilizing Shiny, a R package, an interactive web application was created directly from R scripts. This interactive platform is a tangible outcome of the research, bringing the benefits of predictive analytics directly to end-users and reinforcing the potential impact of data science in the healthcare domain.",A shiny app was developed and this model may have been used in practice
stroke,Unlocking the power of optimized data balancing ratios: a new frontier in tackling imbalanced datasets,10.1007/s11227-025-06919-2,na,na,na,na,na,na,na,na,na,na,Turkey,statement ethics was not required,no statement,na,not a clinical prediction model study
stroke,Accuracy-Fairness Trade-Off in ML for Healthcare: A Quantitative Evaluation of Bias Mitigation Strategies,10.2139/ssrn.5247731,na,na,na,na,na,na,na,na,na,na,Canada,no statement,no statement,na,not a research article
stroke,AN ANALYSIS OF BRAIN STROKE PREDICTION USING MACHINE LEARNING,10.61841/turcomat.v11i3.14508,no,no,no,no,no,no,no,no,no,unsure,India,no statement,no statement,"Thus, the Brain Stroke Prediction system has been implemented using the given 5 Machine Learning algorithm given a highest accuracy of 98.56%. The system is therefore designed providing simple yet efficient User Interface design with an empathetic approach towards their users and patients. The system has a potential for future scope which could lead to better results a better user experience. This will help the user to save their valuable time and will help them to take appropriate measures based on the results provided.",Error in reporting the authors mentione 73% training dataset and 37% testing dataset which is 110%. May or may not be a clinical prediction model study
